health_regions,city
Baía da Ilha Grande,Angra dos Reis
Baía da Ilha Grande,Mangaratiba
Baía da Ilha Grande,Paraty
Baixada Litorânea,Araruama
Baixada Litorânea,Armação dos Búzios
Baixada Litorânea,Arraial do Cabo
Baixada Litorânea,Cabo Frio
Baixada Litorânea,Casimiro de Abreu
Baixada Litorânea,Iguaba Grande
Baixada Litorânea,Rio das Ostras
Baixada Litorânea,São Pedro da Aldeia
Baixada Litorânea,Saquarema
Centro-Sul,Areal
Centro-Sul,Comendador Levy Gasparian
Centro-Sul,Engenheiro Paulo de Frontin
Centro-Sul,Mendes
Centro-Sul,Miguel Pereira
Centro-Sul,Paracambi
Centro-Sul,Paraíba do Sul
Centro-Sul,Paty do Alferes
Centro-Sul,Sapucaia
Centro-Sul,Três Rios
Centro-Sul,Vassouras
Médio Paraíba,Barra do Piraí
Médio Paraíba,Barra Mansa
Médio Paraíba,Itatiaia
Médio Paraíba,Pinheiral
Médio Paraíba,Piraí
Médio Paraíba,Porto Real
Médio Paraíba,Quatis
Médio Paraíba,Resende
Médio Paraíba,Rio Claro
Médio Paraíba,Rio das Flores
Médio Paraíba,Valença
Médio Paraíba,Volta Redonda
Metropolitana I,Belford Roxo
Metropolitana I,Duque de Caxias
Metropolitana I,Itaguaí
Metropolitana I,Japeri
Metropolitana I,Magé
Metropolitana I,Mesquita
Metropolitana I,Nilópolis
Metropolitana I,Nova Iguaçu
Metropolitana I,Queimados
Metropolitana I,Rio de Janeiro
Metropolitana I,São João de Meriti
Metropolitana I,Seropédica
Metropolitana II,Itaboraí
Metropolitana II,Maricá
Metropolitana II,Niterói
Metropolitana II,Rio Bonito
Metropolitana II,São Gonçalo
Metropolitana II,Silva Jardim
Metropolitana II,Tanguá
Noroeste,Aperibé
Noroeste,Bom Jesus do Itabapoana
Noroeste,Cambuci
Noroeste,Cardoso Moreira
Noroeste,Italva
Noroeste,Itaocara
Noroeste,Itaperuna
Noroeste,Laje do Muriaé
Noroeste,Miracema
Noroeste,Natividade
Noroeste,Porciúncula
Noroeste,Santo Antônio de Pádua
Noroeste,São José de Ubá
Noroeste,Varre-Sai
Norte,Campos dos Goytacazes
Norte,Carapebus
Norte,Conceição de Macabu
Norte,Macaé
Norte,Quissamã
Norte,São Fidélis
Norte,São Francisco de Itabapoana
Norte,São João da Barra
Serrana,Bom Jardim
Serrana,Cachoeiras de Macacu
Serrana,Cantagalo
Serrana,Carmo
Serrana,Cordeiro
Serrana,Duas Barras
Serrana,Guapimirim
Serrana,Macuco
Serrana,Nova Friburgo
Serrana,Petrópolis
Serrana,Santa Maria Madalena
Serrana,São José do Vale do Rio Preto
Serrana,São Sebastião do Alto
Serrana,Sumidouro
Serrana,Teresópolis
Serrana,Trajano de Moraes
